"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega"
0, 0.000000000000000e+00, 0.000000000000000e+00, 4.487222543925149e+01, 5.299962639809320e+01, 0.000000000000000e+00, 9.822786685214256e+00, 1.358322814908266e+05
1, 1.500000000000000e-02, 0.000000000000000e+00, 9.001341255726898e-01, 5.374531818147497e+01, 0.000000000000000e+00, 2.134885701023811e+00, 3.323073863984476e+04
2, 3.000000000000000e-01, 0.000000000000000e+00, -8.727660580839162e-01, 1.782634805416157e+01, 0.000000000000000e+00, 9.127972268665827e+00, 1.253816242966515e+03
3, 3.000000000000000e-01, 5.000000000000000e-03, -6.933893491740060e-01, 1.732637820475564e+01, 3.678467985279548e-02, 9.299486143477949e+00, 1.274841156338133e+03
4, 3.000000000000000e-01, 5.000000000000000e-02, 6.065963989592119e-02, 8.112561541347180e+00, 0.000000000000000e+00, 1.887568852694473e-03, 1.344404737623379e+02
5, 1.500000000000000e-02, 5.000000000000000e-02, -1.116047976537556e+01, 9.208949053836749e+00, 0.000000000000000e+00, 3.070352946279460e-03, 2.116915226965041e+02
6, 0.000000000000000e+00, 5.000000000000000e-02, -1.106965299568745e+01, 9.200023714774064e+00, 0.000000000000000e+00, 3.171863610511507e-03, 2.181236764461809e+02
7, 0.000000000000000e+00, 5.000000000000000e-03, 1.781956917597750e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.679934915254462e+05
8, 1.500000000000000e-02, 5.000000000000000e-03, -2.502914995035556e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.679934915240574e+05
9, 0.000000000000000e+00, 4.736842105263176e-03, 5.266516390248729e+01, 5.282386093065863e+01, 6.635492716180659e-02, 1.163889965893281e+01, 1.626084813434981e+05
10, 0.000000000000000e+00, 4.473684210527537e-03, 4.404544647245296e+01, 5.299858878901913e+01, 3.020266928907503e-03, 9.831991321249257e+00, 1.360057524892087e+05
11, 0.000000000000000e+00, 4.210526315791898e-03, 4.371785858349165e+01, 5.300073225878528e+01, 3.581508460711406e-03, 9.822768896196449e+00, 1.358410475374002e+05
12, 0.000000000000000e+00, 3.947368421055251e-03, 4.378968725553537e+01, 5.299980963952467e+01, 4.360693897116680e-03, 9.822719494443106e+00, 1.358341956891965e+05
13, 0.000000000000000e+00, 3.684210526318756e-03, 4.392511794441579e+01, 5.299937032426067e+01, 4.348407929789974e-03, 9.822722259106962e+00, 1.358325425357650e+05
14, 0.000000000000000e+00, 3.421052631583117e-03, 4.407109883865138e+01, 5.299922997703860e+01, 3.982328526250154e-03, 9.822725587684763e+00, 1.358319840701180e+05
15, 0.000000000000000e+00, 3.157894736847197e-03, 4.420899385238221e+01, 5.299922458583162e+01, 3.501075137197614e-03, 9.822729482155108e+00, 1.358317797602389e+05
16, 0.000000000000000e+00, 2.894736842110993e-03, 4.433203720390585e+01, 5.299927367314343e+01, 3.011121464032199e-03, 9.822733492924741e+00, 1.358317103648100e+05
17, 0.000000000000000e+00, 2.631578947374538e-03, 4.443862557436946e+01, 5.299934011829536e+01, 2.555386164571713e-03, 9.822737296841511e+00, 1.358316967798612e+05
18, 0.000000000000000e+00, 2.368421052637727e-03, 4.452934081827247e+01, 5.299940750444004e+01, 2.147630161750730e-03, 9.822740733625601e+00, 1.358317066558645e+05
19, 0.000000000000000e+00, 2.105263157900484e-03, 4.460557512500102e+01, 5.299946909061264e+01, 1.788780391878197e-03, 9.822743743047566e+00, 1.358317256218368e+05
20, 0.000000000000000e+00, 1.842105263162563e-03, 4.466890874900773e+01, 5.299952254675055e+01, 1.474531938737544e-03, 9.822746314887709e+00, 1.358317469232164e+05
21, 0.000000000000000e+00, 1.578947368425320e-03, 4.472084119514231e+01, 5.299956746870287e+01, 1.198808628659603e-03, 9.822748458193148e+00, 1.358317672289792e+05
22, 0.000000000000000e+00, 1.315789473687538e-03, 4.476268515836222e+01, 5.299960423129825e+01, 9.552947900447066e-04, 9.822750180796930e+00, 1.358317847371350e+05
23, 0.000000000000000e+00, 1.052631578950326e-03, 4.479553072067596e+01, 5.299963350523591e+01, 7.381429249566027e-04, 9.822751464391661e+00, 1.358317980856470e+05
24, 0.000000000000000e+00, 7.894736842124061e-04, 4.482022539851484e+01, 5.299965619801186e+01, 5.425912320214408e-04, 9.822752186906134e+00, 1.358318049084619e+05
25, 0.000000000000000e+00, 5.263157894748330e-04, 4.483724370925144e+01, 5.299967424153105e+01, 3.671751345714171e-04, 9.822751633045971e+00, 1.358317948587250e+05
26, 0.000000000000000e+00, 2.631578947379200e-04, 4.484442920634248e+01, 5.299969840837466e+01, 2.371324828749035e-04, 9.822741575981071e+00, 1.358316522671066e+05
27, 6.249999999986372e-04, 0.000000000000000e+00, 4.486281890577870e+01, 5.299847063463208e+01, 0.000000000000000e+00, 8.701769697331821e+00, 1.214433107326326e+05
28, 1.249999999997294e-03, 0.000000000000000e+00, 4.500323313659094e+01, 5.299600726096661e+01, 0.000000000000000e+00, 7.794627953732864e+00, 1.097009853874751e+05
29, 1.874999999996248e-03, 0.000000000000000e+00, 4.517495678671760e+01, 5.299336819739558e+01, 0.000000000000000e+00, 7.047281164392118e+00, 9.995186039592099e+04
30, 2.499999999994326e-03, 0.000000000000000e+00, 4.535945791934390e+01, 5.299103277798475e+01, 0.000000000000000e+00, 6.422140324745656e+00, 9.173829381137727e+04
31, 3.124999999992361e-03, 0.000000000000000e+00, 4.551290867804463e+01, 5.298963687131445e+01, 0.000000000000000e+00, 5.892346051820757e+00, 8.473097400766096e+04
32, 3.749999999990481e-03, 0.000000000000000e+00, 4.559768887882797e+01, 5.298974916460875e+01, 0.000000000000000e+00, 5.438241831966007e+00, 7.868732429079682e+04
33, 4.374999999988178e-03, 0.000000000000000e+00, 4.557821997332105e+01, 5.299189846776735e+01, 0.000000000000000e+00, 5.045139805719909e+00, 7.342497787452272e+04
34, 4.999999999986722e-03, 0.000000000000000e+00, 4.542238809335814e+01, 5.299657098437069e+01, 0.000000000000000e+00, 4.701862236687355e+00, 6.880435530213568e+04
35, 5.624999999984589e-03, 0.000000000000000e+00, 4.510056129217855e+01, 5.300422717099322e+01, 0.000000000000000e+00, 4.399763889230346e+00, 6.471691917755589e+04
36, 6.249999999982454e-03, 0.000000000000000e+00, 4.458451915375323e+01, 5.301532087407385e+01, 0.000000000000000e+00, 4.132061248645489e+00, 6.107707176977289e+04
37, 6.874999999980998e-03, 0.000000000000000e+00, 4.384612382096346e+01, 5.303032110324683e+01, 0.000000000000000e+00, 3.893362566826994e+00, 5.781644946422036e+04
38, 7.499999999979035e-03, 0.000000000000000e+00, 4.285588770317731e+01, 5.304973493572648e+01, 0.000000000000000e+00, 3.679332387829742e+00, 5.487983025001643e+04
39, 8.124999999981248e-03, 0.000000000000000e+00, 4.158142206407877e+01, 5.307413059486983e+01, 0.000000000000000e+00, 3.486447997039604e+00, 5.222214900768136e+04
