"PointID","x","y","Pressure","Velocity_x","Velocity_y","Sound speed","Enthalpy","Turb_Kin_Energy","Omega","Species_0"
0, 0.000000000000000e+00, 0.000000000000000e+00, 3.220483099665922e+01, 5.299938608044832e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391079976035933e+05, 9.294332262620914e+00, 2.508667975430413e+05, 1.000015800704357e+00
1, 1.500000000000000e-02, 0.000000000000000e+00, 6.986709354026045e+00, 5.349132590006349e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391153397972592e+05, 1.200856307156913e+00, 3.788651223914661e+04, 9.981962893862961e-01
2, 3.000000000000000e-01, 0.000000000000000e+00, -3.494808332410846e+00, 1.895367191096548e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.016979748418733e+05, 1.078913642592195e+01, 1.520683870731511e+03, 2.188537398114351e-01
3, 3.000000000000000e-01, 5.000000000000000e-03, -3.126763637829312e+00, 1.831896462150985e+01, 8.849264931889539e-02, 0.000000000000000e+00, 9.606061577674825e+04, 1.094102498706000e+01, 1.537393722396220e+03, 2.094190854156813e-01
4, 3.000000000000000e-01, 5.000000000000000e-02, 1.119558757768794e-01, 8.515986266138389e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.188968499999976e+03, 1.938672043851729e-03, 1.301036619587065e+02, 1.790325888101326e-19
5, 1.500000000000000e-02, 5.000000000000000e-02, -7.281417962618217e+00, 9.207537325412860e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.188968499999977e+03, 3.076187978126037e-03, 1.995554336276025e+02, 5.361995603166401e-45
6, 0.000000000000000e+00, 5.000000000000000e-02, -7.209672484756299e+00, 9.200016863194902e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.188968499999977e+03, 3.171982360706900e-03, 2.052671522680670e+02, 1.252561715157133e-61
7, 0.000000000000000e+00, 5.000000000000000e-03, 1.305720106236627e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.573464352120917e+05, 1.000000000000000e-10, 1.107265249475936e+05, 9.278509382807894e-01
8, 1.500000000000000e-02, 5.000000000000000e-03, -1.942054647759168e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.364183301923797e+05, 1.000000000000000e-10, 1.803277571349057e+05, 4.118319709965089e-01
9, 0.000000000000000e+00, 4.736842105263176e-03, 3.412964287629915e+01, 5.284181892791649e+01, 3.141064103804019e-02, 0.000000000000000e+00, 3.393585751736064e+05, 1.138551044410500e+01, 2.732218002261049e+05, 1.003940209708084e+00
10, 0.000000000000000e+00, 4.473684210527537e-03, 3.124594817253644e+01, 5.300127992195564e+01, 5.673595105547585e-03, 0.000000000000000e+00, 3.391098035222522e+05, 9.299486199263647e+00, 2.508948435361474e+05, 9.997610541950364e-01
11, 0.000000000000000e+00, 4.210526315791898e-03, 3.082205994189991e+01, 5.300148337801760e+01, 4.674754287562301e-03, 0.000000000000000e+00, 3.391079751810802e+05, 9.294201327349061e+00, 2.508649545191192e+05, 9.999926115255835e-01
12, 0.000000000000000e+00, 3.947368421055251e-03, 3.085351748320111e+01, 5.300018847194770e+01, 5.331001397222369e-03, 0.000000000000000e+00, 3.391079935272044e+05, 9.294417983634817e+00, 2.508698441655024e+05, 1.000026735470820e+00
13, 0.000000000000000e+00, 3.684210526318756e-03, 3.099411377555150e+01, 5.299954308964771e+01, 5.446605558401187e-03, 0.000000000000000e+00, 3.391079989076701e+05, 9.294404388242084e+00, 2.508690655072914e+05, 1.000025601798985e+00
14, 0.000000000000000e+00, 3.421052631583117e-03, 3.116031773681881e+01, 5.299927493186159e+01, 5.153335444874816e-03, 0.000000000000000e+00, 3.391079996641043e+05, 9.294372753865582e+00, 2.508680512101719e+05, 1.000021564789178e+00
15, 0.000000000000000e+00, 3.157894736847197e-03, 3.132431910435222e+01, 5.299919112686307e+01, 4.677401914206973e-03, 0.000000000000000e+00, 3.391079997608764e+05, 9.294348746097679e+00, 2.508673284963051e+05, 1.000018364568137e+00
16, 0.000000000000000e+00, 2.894736842110993e-03, 3.147572894856317e+01, 5.299919133818528e+01, 4.147483637941174e-03, 0.000000000000000e+00, 3.391079997763915e+05, 9.294331724606542e+00, 2.508668291119956e+05, 1.000016025801169e+00
17, 0.000000000000000e+00, 2.631578947374538e-03, 3.161100747651407e+01, 5.299922643607562e+01, 3.623922150960413e-03, 0.000000000000000e+00, 3.391079997871967e+05, 9.294319246035865e+00, 2.508664684588354e+05, 1.000014269773544e+00
18, 0.000000000000000e+00, 2.368421052637727e-03, 3.172953445511526e+01, 5.299927309357573e+01, 3.131311356798818e-03, 0.000000000000000e+00, 3.391079997996952e+05, 9.294309693947417e+00, 2.508661951378004e+05, 1.000012901984653e+00
19, 0.000000000000000e+00, 2.105263157900484e-03, 3.183190537015147e+01, 5.299932059114112e+01, 2.677096184010663e-03, 0.000000000000000e+00, 3.391079998124506e+05, 9.294302142555381e+00, 2.508659805722738e+05, 1.000011808045879e+00
20, 0.000000000000000e+00, 1.842105263162563e-03, 3.191915284292633e+01, 5.299936426722459e+01, 2.260957600996870e-03, 0.000000000000000e+00, 3.391079998243344e+05, 9.294296065764424e+00, 2.508658087569707e+05, 1.000010921263782e+00
21, 0.000000000000000e+00, 1.578947368425320e-03, 3.199238975819783e+01, 5.299940233356218e+01, 1.879381582499285e-03, 0.000000000000000e+00, 3.391079998351737e+05, 9.294291160576828e+00, 2.508656705398638e+05, 1.000010202140888e+00
22, 0.000000000000000e+00, 1.315789473687538e-03, 3.205264823400010e+01, 5.299943438444357e+01, 1.527944987693420e-03, 0.000000000000000e+00, 3.391079998454229e+05, 9.294287265699857e+00, 2.508655610184719e+05, 1.000009628963423e+00
23, 0.000000000000000e+00, 1.052631578950326e-03, 3.210080519072409e+01, 5.299946085828188e+01, 1.202814607166570e-03, 0.000000000000000e+00, 3.391079998514853e+05, 9.294284332085695e+00, 2.508654785598886e+05, 1.000009194298298e+00
24, 0.000000000000000e+00, 7.894736842124061e-04, 3.213755675273878e+01, 5.299948337733437e+01, 9.026447833418315e-04, 0.000000000000000e+00, 3.391079998061029e+05, 9.294282153171892e+00, 2.508654173016618e+05, 1.000008866979419e+00
